LA Code,District,LSOA,LSOA Name,Total Area of All Land Types,Area of Domestic Buildings,Area of Non Domestic Buildings,Area of Road,Area of Path,Area of Rail,Area of Domestic Gardens,Area of Greenspace,Area of Water,Area of Other Land Uses,Area of Unclassified Land,Area of Admin Geography,Quality of Fit Indicator
00CGGG,Arbourthorne,E01007881,Sheffield 034B,556.03,33.03,4.09,69.55,14.07,0,77.57,344.52,0,13.21,0,542.12,2.56
00CGGG,Arbourthorne,E01007976,Sheffield 051B,337.68,32.02,4.54,50.54,3.99,0,91.77,146.05,2,6.78,0,332.21,1.65
00CGGG,Arbourthorne,E01007977,Sheffield 051C,316.16,23.56,4.67,53.11,8.21,0,68.68,145.7,0.56,11.68,0,311.96,1.35
00CGGG,Arbourthorne,E01007982,Sheffield 054A,469.96,34.24,2.46,61.17,9.37,0,94.71,230.85,0.57,36.59,0,444.6,5.7
00CGGG,Arbourthorne,E01008002,Sheffield 054B,238.33,36.45,1.64,44,0.78,0,129.81,6.28,0,19.38,0,265.64,-10.28
00CGGG,Arbourthorne,E01008003,Sheffield 054C,279.19,33.36,0.72,58.64,1.41,0,142.74,36.01,0,6.31,0,280.55,-0.49
00CGGG,Arbourthorne,E01008005,Sheffield 052D,306.11,41.15,2.27,57.84,3.19,3.35,167.84,26.22,0.23,4.02,0,359.6,-14.87
00CGGG,Arbourthorne,E01008006,Sheffield 054D,261.52,35.6,3.53,68.63,1,1.59,127.12,16.83,0.55,6.67,0,259.24,0.88
00CGGG,Arbourthorne,E01008007,Sheffield 060A,602.82,33.1,5.44,72.89,14.38,4.55,103.18,341.04,0.25,27.99,0,602.01,0.13
00CGGG,Arbourthorne,E01008095,Sheffield 043A,809.77,23.84,28.24,86.32,18.32,5.63,31.52,522.45,0.5,92.97,0,827.36,-2.13
00CGGG,Arbourthorne,E01008096,Sheffield 043B,577.99,31.36,31.99,87.89,8.84,0.14,103.37,235.96,0,78.43,0,606.56,-4.71
00CGGG,Arbourthorne,E01008097,Sheffield 043C,397.99,28.81,6.42,53.12,5.93,0,99.52,169.66,1.6,32.93,0,382.76,3.98
00CGGG,Arbourthorne,E01008098,Sheffield 048A,247.6,27.63,12.34,55.27,2.31,0.46,124.79,7.78,0,17.02,0,245.59,0.82
00CGGG,Arbourthorne,E01008099,Sheffield 051E,244.86,25.83,24.72,42.09,0.07,11.89,67.06,11.46,1.33,60.42,0,236.11,3.71
00CGGG,Arbourthorne,E01008100,Sheffield 048B,240.07,23.8,5.2,46.72,2.23,0,100.71,53.32,0,8.11,0,247.26,-2.91
00CGGG,Arbourthorne,E01008101,Sheffield 043D,208.76,25.58,1.75,36.71,5.19,0,89.76,42.5,0,7.28,0,207.95,0.39
00CGGG,Arbourthorne,E01008102,Sheffield 048C,249.83,29.29,10.22,46.9,6.38,0,100.78,37.61,0,18.65,0,265.09,-5.76
