District,LSOA,All People,Aged under 1 year,Aged 1 year,Aged 2 years,Aged 3 years,Aged 4 years,Aged 5 years,Aged 6 years,Aged 7 years,Aged 8 years,Aged 9 years,Aged 10 years,Aged 11 years,Aged 12 years,Aged 13 years,Aged 14 years,Aged 15 years,Aged 16 years,Aged 17 years,Aged 18 years,Aged 19 years,Aged 20 years,Aged 21 years,Aged 22 years,Aged 23 years,Aged 24 years,Aged 25 years,Aged 26 years,Aged 27 years,Aged 28 years,Aged 29 years,Aged 30 years,Aged 31 years,Aged 32 years,Aged 33 years,Aged 34 years,Aged 35 years,Aged 36 years,Aged 37 years,Aged 38 years,Aged 39 years,Aged 40 years,Aged 41 years,Aged 42 years,Aged 43 years,Aged 44 years,Aged 45 years,Aged 46 years,Aged 47 years,Aged 48 years,Aged 49 years,Aged 50 years,Aged 51 years,Aged 52 years,Aged 53 years,Aged 54 years,Aged 55 years,Aged 56 years,Aged 57 years,Aged 58 years,Aged 59 years,Aged 60 years,Aged 61 years,Aged 62 years,Aged 63 years,Aged 64 years,Aged 65 years,Aged 66 years,Aged 67 years,Aged 68 years,Aged 69 years,Aged 70 years,Aged 71 years,Aged 72 years,Aged 73 years,Aged 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 to 89 years,Aged 90 to 94 years,Aged 95 to 99 years,Aged 100 years and over,,
Arbourthorne,E01007881,1382,9,17,8,17,15,19,23,18,19,22,11,21,26,26,24,23,25,20,16,20,13,22,15,10,14,19,19,20,23,21,14,20,19,17,25,19,22,15,21,26,22,22,14,23,18,18,18,9,16,22,18,13,8,21,23,15,18,17,10,10,11,16,17,15,18,13,27,16,14,10,14,9,5,10,10,39,19,20,11,0,0,,
Arbourthorne,E01007976,1497,15,18,20,15,10,13,11,20,16,17,23,17,17,20,23,23,18,17,19,16,11,12,24,12,18,15,19,15,12,14,15,22,22,21,22,21,25,28,19,31,27,22,20,25,22,22,24,23,18,14,23,23,19,21,23,12,24,16,10,16,12,15,18,19,21,12,16,18,9,6,14,16,11,5,17,53,48,31,19,7,0,,
Arbourthorne,E01007977,1489,13,11,18,12,20,7,14,13,12,10,13,15,13,11,14,11,17,11,18,27,17,20,18,23,11,16,20,21,24,18,25,21,18,20,30,17,18,21,24,27,15,17,18,20,21,13,11,13,10,14,24,16,26,18,21,13,16,15,15,11,8,15,12,26,18,19,27,23,23,15,21,19,30,15,15,83,65,26,13,0,0,,
Arbourthorne,E01007982,1529,16,23,17,21,27,15,17,29,26,26,26,19,17,25,19,23,19,24,23,19,23,21,15,14,13,8,10,15,24,14,20,20,26,23,24,27,15,20,28,24,16,12,31,24,21,17,23,18,15,15,18,19,16,25,26,17,18,12,23,11,19,18,19,17,23,25,8,9,14,21,10,14,23,12,10,43,27,22,3,0,0,,
Arbourthorne,E01008002,1468,12,9,10,17,16,24,10,12,16,10,13,16,9,13,17,15,9,11,23,10,13,17,12,13,10,14,15,12,15,14,28,18,22,21,19,16,17,27,22,22,24,19,29,14,17,21,17,27,23,24,21,16,22,21,25,14,18,19,30,19,20,15,39,24,22,32,26,25,26,11,16,14,9,4,10,57,40,23,11,5,0,,
Arbourthorne,E01008003,1445,6,8,13,11,9,8,22,16,13,21,24,17,24,11,20,10,20,15,10,16,21,10,10,13,10,7,15,17,19,19,16,15,15,16,24,22,17,25,27,26,16,22,23,19,25,17,21,19,23,26,17,32,18,29,23,22,9,23,17,9,13,21,28,23,13,16,22,13,23,23,14,13,23,11,14,53,47,20,4,3,0,,
Arbourthorne,E01008005,1500,7,10,11,13,11,15,16,11,13,17,10,10,13,19,11,15,8,18,16,14,7,11,13,11,10,14,16,20,16,19,13,27,14,20,25,22,20,20,17,16,29,22,21,22,22,22,26,15,23,18,20,18,21,24,16,17,15,27,18,17,16,26,16,26,22,13,18,24,22,16,15,23,21,17,25,95,51,34,14,4,0,,
Arbourthorne,E01008006,1493,7,11,8,13,21,8,20,16,15,16,14,17,17,11,14,14,20,15,9,15,10,14,13,7,26,10,19,17,20,25,19,17,31,10,30,23,21,20,28,25,18,22,24,16,15,22,15,17,16,22,15,18,26,26,29,28,25,21,28,17,22,22,13,25,21,23,12,14,14,17,17,20,21,23,12,64,43,20,4,0,0,,
Arbourthorne,E01008007,1596,9,18,21,18,14,14,9,18,20,24,14,19,16,24,18,20,16,18,16,16,18,16,13,13,23,12,17,11,15,16,23,18,18,25,21,23,23,18,21,23,16,24,15,12,16,16,13,14,12,10,10,21,18,24,24,20,21,20,22,22,17,19,14,22,26,20,15,20,20,26,26,20,35,21,40,86,61,31,14,4,0,,
Arbourthorne,E01008095,1474,3,11,6,10,5,4,6,10,4,8,10,6,10,10,9,8,13,6,87,208,134,58,34,25,20,19,16,14,14,17,13,13,11,8,7,13,10,13,11,14,12,11,8,9,10,8,14,16,10,11,9,13,13,8,12,13,20,17,12,19,9,16,14,12,12,11,12,16,9,17,7,8,11,15,14,58,43,28,15,4,0,,
